Total Asset,Cash,Total Debt in Current Liabilities,Total Long-Term Debt,Earnings Before Interest,Gross Profit (Loss),Total Liabilities,Retained Earnings,Total debt/total asset,Total asset/Total libiilities,EBTI/total asset,Gross Profit/Revenue,EBTI/REV,Sales/Turnover (Net),Total Stockholders Equity,Total Interest and Related Expense,Market Value - Total - Fiscal,Total Inventories,Total Revenue,Operating Activities - Net Cash Flow,Financing Activities - Net Cash Flow,Net Cash Flow,Rating Level,Debt-to-Equity Ratio,Total Current Asset,Working Capital Ratio,Debt Service Coverage Ratio,Gross Profit Margin
43771.0,994.0,1708.0,16196.0,6585.0,13139.0,41750.0,-13121.0,0.370016678,1.048407186,0.150442074,0.308065651,0.154396249,42650.0,2021.0,915.0,37405.5843,1004.0,42650.0,3080.0,-315.0,2765.0,High Risk,0.8451261751608115,1998.0,0.1379072335726118,0.36779490616621985,30.806565064478313
14313.532,7.604,530.97,3031.215,1228.6,1228.6,9794.43,1857.924,0.211772678,1.461395099,0.085834859,0.351869842,0.351869842,3491.632,4519.102,200.95,7553.105,255.986,3491.632,1099.627,-178.881,920.746,Low Risk,0.11749458188817159,263.59000000000015,0.10542566828450818,0.3449006719190609,35.18698419535621
41275.0,4063.0,4437.0,3408.0,4475.0,12088.0,19636.0,17821.0,0.082568141,2.102006519,0.10841914,0.59702672,0.221020398,20247.0,21639.0,150.0,67891.7357,2643.0,20247.0,3675.0,-2742.0,933.0,Low Risk,0.20504644392069873,6706.0,-6.517006802721088,0.5704270235818993,59.70267200079024
53402.1,1420.4,729.3,7852.0,4848.7,15091.5,38850.3,9940.4,0.147035416,1.374560814,0.090796055,0.260183921,0.083593664,58003.2,14551.8,329.3,31072.734,0.0,58003.2,3372.8,-1235.0,2137.8,Low Risk,0.050117511235723416,1420.4000000000015,0.19941875973998646,0.5650309393681611,26.01839208871235
17779.1,336.6,1294.0,4824.5,2560.6,3761.3,9970.5,8751.3,0.271357943,1.783170353,0.144023038,0.36031229,0.245291695,10439.0,7521.4,158.1,27798.507,861.4,10439.0,2187.1,-661.4,1525.7,Low Risk,0.17204243890765017,1198.0,0.3393287069820139,0.4185012666503228,36.03122904492768
6181.0,107.0,117.0,686.0,1226.0,1733.0,4054.0,1834.0,0.110985277,1.524666996,0.198349782,0.322839046,0.228390462,5368.0,2127.0,48.0,7857.3046,58.0,5368.0,1030.0,-462.0,568.0,Moderate Risk,0.05500705218617771,165.0,0.28998242530755713,1.526774595267746,32.283904619970194
38578.0,2444.0,68.0,5919.0,5486.0,6709.0,16258.0,18642.0,0.153429416,2.372862591,0.142205402,0.624848654,0.510943467,10737.0,22320.0,399.0,21100.3397,527.0,10737.0,4464.0,-3835.0,629.0,Moderate Risk,0.0030465949820788533,2971.0,0.507776448470347,0.9163186904960748,62.48486541864581
919.855,22.971,3.828,390.825,114.072,181.062,668.518,85.615,0.424876747,1.375961455,0.12401085,0.404688307,0.254960204,447.411,251.337,10.677,867.8357,0.0,447.411,71.369,366.793,438.162,Moderate Risk,0.01523054703445971,22.971000000000004,0.05935704927945178,0.28904379290161236,40.46883067246894
59633.0,163.0,3960.0,16622.0,5216.0,5216.0,42809.0,7303.0,0.278738282,1.393001472,0.087468348,0.306462985,0.306462985,17020.0,16824.0,929.0,29716.4894,1325.0,17020.0,4613.0,-162.0,4451.0,Moderate Risk,0.23537803138373753,1488.0,0.11751697993997788,0.2534253230978525,30.646298472385432
159103.0,22288.0,15559.0,45876.0,9975.0,9975.0,138430.0,7594.0,0.288341515,1.149339016,0.062695235,0.282738095,0.282738095,35280.0,20673.0,802.0,95179.92,0.0,35280.0,10990.0,11.0,11001.0,Moderate Risk,0.7526241958109612,22288.0,0.7351650888940199,0.16236672906323757,28.273809523809522
6420.963,377.615,286.201,1427.825,1037.17,1499.807,3181.402,3203.029,0.222369293,2.018280934,0.16152873,0.372904133,0.2578765,4021.964,3239.561,79.928,12701.4611,495.896,4021.964,725.962,24.139,750.101,Moderate Risk,0.08834561226042664,873.5110000000004,0.7651477193892213,0.6051075071206621,37.29041334034815
69009.0,3731.0,500.0,30215.0,8956.0,17936.0,43231.0,-4632.0,0.437841441,1.596285073,0.129780174,0.893983951,0.446393859,20063.0,25778.0,1089.0,121124.116,2647.0,20063.0,8555.0,-2877.0,5678.0,Low Risk,0.019396384513926605,6378.0,0.21463907117617365,0.29158391665310107,89.39839505557494
6859.69,569.233,0.0,872.789,965.515,1946.138,2101.793,4062.97,0.127234467,3.263732442,0.140751987,0.679334104,0.337030194,2864.773,4757.897,34.784,15441.9921,367.927,2864.773,871.602,-576.61,294.992,Low Risk,0.0,937.1599999999999,1.0737532209961398,1.106241027327338,67.93341043077409
11879.942,501.149,6.19,4348.859,1740.519,2299.133,6961.153,3650.694,0.36606736,1.706605501,0.146509049,0.337899241,0.255800795,6804.197,4918.789,202.348,3756.5158,230.067,6804.197,1781.911,69.848,1851.759,Moderate Risk,0.0012584398314300534,731.2160000000003,0.1683793998575531,0.39965543441646695,33.78992407186329
55952.0,769.0,0.0,11245.0,4884.0,5318.0,27815.0,16133.0,0.200975836,2.011576488,0.087289105,0.386791767,0.355225835,13749.0,28137.0,505.0,23595.5684,708.0,13749.0,8461.0,-794.0,7667.0,Low Risk,0.0,1477.0,0.1313472654513117,0.43432636727434415,38.679176667393996
